Customer_ID,Store_ID,Order_Date_ID,Product_ID,Quantity_Ordered,Order_Amount,Discount_Amount,Shipping_Cost,Total_Amount
206,21,20250130,922,7,251,27.0,30.83,193.17000000000002
578,21,20250130,242,10,932,105.79,136.84,689.37
515,21,20250130,705,19,153,5.15,20.2,127.65
758,21,20250130,985,6,189,21.9,20.77,146.32999999999998
29,21,20250130,369,20,191,9.63,18.3,163.07
275,21,20250130,157,17,114,3.64,14.91,95.45
536,21,20250130,80,14,566,58.87,51.55,455.58000000000004
421,21,20250130,932,19,563,33.29,78.55,451.15999999999997
736,21,20250130,192,5,644,57.76,69.28,516.96
577,21,20250130,461,6,203,24.54,22.72,155.74
967,21,20250130,921,20,868,18.53,124.83,724.64
318,21,20250130,315,16,778,116.45,83.53,578.02
644,21,20250130,172,17,198,13.22,12.45,172.32999999999998
190,21,20250130,463,17,379,31.7,56.38,290.92
697,21,20250130,752,7,553,50.78,66.31,435.90999999999997
92,21,20250130,318,1,551,23.5,62.74,464.76
171,21,20250130,686,7,364,46.67,28.87,288.46
322,21,20250130,595,19,916,118.23,57.05,740.72
786,21,20250130,118,11,108,15.26,6.65,86.09
536,21,20250130,538,14,435,56.34,39.63,339.03
959,21,20250130,92,13,530,63.01,74.15,392.84000000000003
912,21,20250130,101,8,390,51.34,49.54,289.12
278,21,20250130,596,7,262,35.03,27.84,199.13
304,21,20250130,224,5,587,66.91,41.81,478.28
673,21,20250130,682,5,398,50.72,20.58,326.7
627,21,20250130,108,8,278,10.48,18.34,249.18
670,21,20250130,1,18,559,64.17,81.98,412.85
310,21,20250130,653,13,108,6.02,5.79,96.19
220,21,20250130,492,4,612,42.72,80.99,488.29
220,21,20250130,497,13,406,48.45,28.39,329.15999999999997
480,21,20250130,903,20,214,5.42,20.4,188.18
656,21,20250130,670,16,785,50.21,76.21,658.58
62,21,20250130,528,4,468,69.49,42.46,356.05
223,21,20250130,827,11,258,31.01,33.77,193.22
760,21,20250130,585,3,382,24.96,49.45,307.59000000000003
754,21,20250130,824,12,655,80.11,49.03,525.86
959,21,20250130,544,4,710,38.24,65.08,606.6800000000001
500,21,20250130,997,5,580,28.47,55.39,496.14
938,21,20250130,872,14,975,97.87,87.31,789.8199999999999
378,21,20250130,265,19,849,84.26,119.02,645.72
938,21,20250130,162,12,446,17.43,25.97,402.6
308,21,20250130,921,2,306,42.44,28.54,235.02
142,21,20250130,943,1,904,98.9,88.7,716.4
438,21,20250130,492,1,376,11.61,26.15,338.24
956,21,20250130,40,15,220,11.5,28.22,180.28
485,21,20250130,921,7,652,63.8,43.41,544.79
526,21,20250130,794,8,629,14.79,46.37,567.84
747,21,20250130,885,9,891,36.03,63.93,791.04
157,21,20250130,378,15,560,50.03,61.8,448.17
209,21,20250130,30,4,848,29.99,113.88,704.13
280,21,20250130,792,2,433,19.0,56.05,357.95
212,21,20250130,128,11,994,115.88,132.32,745.8
230,21,20250130,671,3,504,65.23,57.62,381.15
893,21,20250130,737,10,404,59.03,53.29,291.68
95,21,20250130,867,18,643,49.44,91.52,502.04
384,21,20250130,854,17,190,5.4,18.76,165.84
308,21,20250130,483,3,809,32.84,60.12,716.04
5,21,20250130,22,7,602,64.91,79.47,457.62
948,21,20250130,862,14,617,25.44,54.46,537.1
48,21,20250130,937,2,844,30.63,82.43,730.94
271,21,20250130,553,8,835,38.74,52.44,743.8199999999999
908,21,20250130,247,12,810,111.39,85.73,612.88
672,21,20250130,290,12,397,32.51,42.62,321.87
57,21,20250130,632,17,160,19.7,15.23,125.07
504,21,20250130,47,17,817,111.97,87.7,617.3299999999999
498,21,20250130,771,4,396,24.33,22.67,349.0
654,21,20250130,422,14,177,13.87,11.71,151.42000000000002
826,21,20250130,519,14,260,34.36,26.64,199.0
222,21,20250130,580,4,989,38.65,126.08,824.27
