Customer_ID,Store_ID,Order_Date_ID,Product_ID,Quantity_Ordered,Order_Amount,Discount_Amount,Shipping_Cost,Total_Amount
706,73,20250130,710,11,636,42.44,33.52,560.04
249,73,20250130,291,8,725,50.63,84.39,589.98
820,73,20250130,853,12,626,89.49,92.93,443.58
119,73,20250130,13,6,966,82.73,133.85,749.4200000000001
822,73,20250130,94,9,293,26.49,18.0,248.51
555,73,20250130,504,7,779,47.76,76.66,654.58
950,73,20250130,40,13,357,41.62,28.28,287.1
739,73,20250130,591,6,211,15.65,23.78,171.57
505,73,20250130,625,17,188,28.05,17.95,142.0
719,73,20250130,452,12,352,45.52,38.94,267.53999999999996
344,73,20250130,45,20,792,56.25,75.51,660.24
915,73,20250130,424,2,408,53.05,34.95,320.0
1000,73,20250130,925,7,352,50.29,31.27,270.44
341,73,20250130,205,20,692,79.12,100.65,512.23
940,73,20250130,217,15,537,37.81,75.77,423.42
53,73,20250130,169,6,343,28.0,19.64,295.36
120,73,20250130,122,2,474,59.7,49.51,364.78999999999996
638,73,20250130,243,10,662,22.84,74.56,564.6
264,73,20250130,332,6,132,14.83,12.62,104.55
732,73,20250130,771,12,422,12.99,21.62,387.39
994,73,20250130,13,20,852,78.59,62.56,710.85
845,73,20250130,387,15,327,9.75,39.53,277.72
398,73,20250130,651,7,231,30.28,21.65,179.07
474,73,20250130,483,6,160,6.43,10.81,142.76
325,73,20250130,269,15,628,82.67,88.72,456.61
661,73,20250130,95,16,473,14.02,66.86,392.12
209,73,20250130,927,15,929,49.67,131.51,747.8199999999999
482,73,20250130,810,19,237,20.88,31.08,185.04000000000002
356,73,20250130,294,13,848,43.64,83.21,721.15
566,73,20250130,154,1,515,12.65,75.82,426.53
32,73,20250130,224,3,976,123.26,110.21,742.53
709,73,20250130,612,7,101,7.39,6.52,87.09
735,73,20250130,429,3,588,54.79,33.48,499.73
97,73,20250130,474,1,501,16.07,59.88,425.05
627,73,20250130,427,1,309,15.12,36.04,257.84000000000003
90,73,20250130,173,12,479,31.32,63.68,384.0
401,73,20250130,872,7,844,77.75,76.12,690.13
409,73,20250130,523,14,597,60.77,59.89,476.34000000000003
612,73,20250130,462,20,843,43.94,74.55,724.51
620,73,20250130,608,5,164,11.8,21.18,131.01999999999998
658,73,20250130,48,12,335,19.32,21.66,294.02
746,73,20250130,631,19,421,26.48,22.23,372.29
299,73,20250130,14,20,488,17.15,57.44,413.40999999999997
663,73,20250130,768,11,580,51.77,36.46,491.77
345,73,20250130,466,19,247,19.11,32.94,194.95
463,73,20250130,765,13,399,29.46,57.84,311.7
613,73,20250130,977,16,542,65.63,73.23,403.14
300,73,20250130,54,1,726,105.46,81.63,538.9100000000001
202,73,20250130,824,2,235,14.67,22.05,198.28
297,73,20250130,233,3,952,20.91,93.36,837.73
977,73,20250130,353,1,397,35.52,34.82,326.65999999999997
545,73,20250130,732,6,949,74.84,94.83,779.3299999999999
122,73,20250130,3,6,825,25.14,107.95,691.91
942,73,20250130,130,10,808,36.45,105.38,666.1700000000001
784,73,20250130,930,14,993,133.33,57.66,802.01
852,73,20250130,328,14,539,66.14,39.81,433.05
407,73,20250130,301,1,184,12.48,26.58,144.94
911,73,20250130,175,18,913,74.11,49.86,789.03
828,73,20250130,514,16,114,10.02,6.58,97.4
677,73,20250130,332,12,882,36.84,58.93,786.23
373,73,20250130,711,13,828,42.16,46.99,738.85
593,73,20250130,7,13,432,47.01,60.75,324.24
597,73,20250130,176,16,622,83.19,51.64,487.17
90,73,20250130,739,19,332,16.26,24.78,290.96
209,73,20250130,422,4,980,105.22,108.0,766.78
900,73,20250130,513,16,217,26.15,29.68,161.17000000000002
437,73,20250130,84,12,775,52.58,62.61,659.81
992,73,20250130,384,5,846,33.68,62.16,750.16
347,73,20250130,180,4,214,6.91,19.32,187.77
560,73,20250130,79,9,159,3.48,16.49,139.03
639,73,20250130,167,10,976,97.66,138.2,740.14
497,73,20250130,760,17,419,22.54,42.09,354.37
683,73,20250130,777,11,130,6.26,12.06,111.68
812,73,20250130,165,7,751,61.54,91.24,598.22
412,73,20250130,293,19,797,59.45,70.77,666.78
181,73,20250130,807,13,343,18.51,20.3,304.19
132,73,20250130,429,10,607,37.29,68.23,501.48
938,73,20250130,542,19,546,54.55,53.41,438.04
651,73,20250130,121,15,873,118.74,48.79,705.47
850,73,20250130,994,6,232,32.39,32.46,167.15
708,73,20250130,86,8,264,30.31,29.58,204.11
350,73,20250130,694,7,805,55.48,66.31,683.21
772,73,20250130,379,18,129,7.33,7.66,114.01
880,73,20250130,558,4,230,27.45,24.37,178.18
936,73,20250130,562,5,357,42.39,30.74,283.87
853,73,20250130,925,13,695,86.29,66.78,541.9300000000001
782,73,20250130,767,4,891,62.7,112.34,715.96
219,73,20250130,187,1,635,39.25,57.99,537.76
545,73,20250130,746,3,710,65.91,55.57,588.52
641,73,20250130,508,10,383,30.0,52.43,300.57
887,73,20250130,976,13,533,76.16,60.29,396.55
640,73,20250130,229,9,613,43.62,34.27,535.11
744,73,20250130,769,10,328,37.06,26.72,264.22
35,73,20250130,460,20,247,16.59,22.23,208.18
92,73,20250130,927,4,266,9.11,33.45,223.44
307,73,20250130,7,20,457,29.0,57.15,370.85
500,73,20250130,791,1,273,38.06,33.83,201.11
520,73,20250130,859,1,588,65.51,41.48,481.01
269,73,20250130,401,19,666,31.04,89.68,545.28
554,73,20250130,901,5,163,4.76,11.7,146.54
638,73,20250130,799,17,291,16.91,14.56,259.53
852,73,20250130,342,13,854,72.96,57.2,723.84
387,73,20250130,285,5,942,59.84,69.14,813.02
950,73,20250130,745,7,508,38.61,34.38,435.01
435,73,20250130,334,13,913,120.07,63.69,729.24
804,73,20250130,243,18,837,39.76,94.13,703.11
171,73,20250130,792,10,528,26.08,75.62,426.3
285,73,20250130,875,20,706,19.46,89.3,597.24
59,73,20250130,779,12,439,10.23,65.71,363.06
535,73,20250130,297,1,456,27.35,54.6,374.05
948,73,20250130,177,8,420,46.91,60.63,312.46000000000004
374,73,20250130,380,19,596,27.87,70.67,497.46
166,73,20250130,24,2,355,51.13,28.31,275.56
17,73,20250130,721,13,581,41.77,46.72,492.51
282,73,20250130,888,6,822,71.0,82.91,668.09
991,73,20250130,793,4,568,73.82,72.05,422.13
363,73,20250130,341,20,103,10.26,12.84,79.9
808,73,20250130,873,19,524,62.75,51.84,409.40999999999997
242,73,20250130,376,18,109,8.43,15.02,85.55
713,73,20250130,155,7,849,49.35,47.89,751.76
893,73,20250130,210,15,659,25.22,88.54,545.24
381,73,20250130,567,14,758,52.61,85.66,619.73
965,73,20250130,294,14,416,59.33,39.45,317.22
976,73,20250130,147,15,910,128.6,48.59,732.81
700,73,20250130,561,1,156,13.57,9.33,133.1
999,73,20250130,507,12,947,69.38,59.26,818.36
124,73,20250130,971,16,589,13.86,78.0,497.14
78,73,20250130,109,15,771,109.87,98.52,562.61
731,73,20250130,921,16,798,93.57,106.87,597.56
649,73,20250130,350,15,416,43.09,30.36,342.55
928,73,20250130,738,9,558,36.3,35.34,486.36
147,73,20250130,912,10,466,16.97,48.28,400.75
159,73,20250130,881,18,237,6.41,30.93,199.66
187,73,20250130,545,3,692,28.81,94.33,568.86
119,73,20250130,987,9,836,111.42,103.47,621.11
899,73,20250130,286,17,569,17.09,78.53,473.38
838,73,20250130,446,9,103,7.67,11.63,83.7
162,73,20250130,470,13,656,69.23,45.82,540.95
131,73,20250130,470,9,306,20.49,16.5,269.01
489,73,20250130,685,11,905,131.1,93.16,680.74
208,73,20250130,306,1,284,40.83,27.24,215.93
506,73,20250130,325,18,256,36.42,24.27,195.31
844,73,20250130,92,8,870,75.43,94.5,700.0699999999999
436,73,20250130,566,19,907,108.57,92.91,705.52
48,73,20250130,881,9,405,37.39,24.07,343.54
67,73,20250130,28,16,283,33.71,35.69,213.6
81,73,20250130,662,3,803,79.3,58.12,665.58
303,73,20250130,928,17,913,53.56,50.18,809.26
764,73,20250130,136,8,624,41.23,32.21,550.56
754,73,20250130,430,6,261,7.71,39.12,214.17000000000002
685,73,20250130,983,12,163,13.87,24.01,125.12
425,73,20250130,718,6,758,85.54,58.34,614.12
165,73,20250130,784,17,915,69.12,133.16,712.72
112,73,20250130,970,1,236,29.01,33.4,173.59
284,73,20250130,302,17,986,47.72,131.2,807.08
512,73,20250130,254,18,544,45.78,74.4,423.82
682,73,20250130,836,19,778,75.34,86.99,615.6700000000001
158,73,20250130,682,13,173,5.84,19.16,148.0
754,73,20250130,622,2,413,16.62,23.85,372.53
778,73,20250130,920,8,156,3.85,20.03,132.12
613,73,20250130,268,12,399,54.19,58.93,285.88
777,73,20250130,396,16,440,23.97,34.62,381.41
233,73,20250130,574,14,504,66.65,75.17,362.18
85,73,20250130,312,16,624,71.45,41.11,511.44
918,73,20250130,732,17,786,21.4,115.89,648.71
220,73,20250130,546,14,706,89.99,91.32,524.69
979,73,20250130,291,14,895,79.67,68.28,747.05
691,73,20250130,12,10,890,43.58,74.11,772.31
427,73,20250130,547,4,628,91.25,90.66,446.09000000000003
96,73,20250130,805,1,987,137.9,88.07,761.03
629,73,20250130,606,17,578,73.91,32.7,471.39
433,73,20250130,748,16,217,28.45,12.09,176.46
76,73,20250130,985,10,891,27.46,68.06,795.48
644,73,20250130,819,3,870,36.92,62.07,771.01
394,73,20250130,973,19,244,34.08,28.84,181.07999999999998
743,73,20250130,644,2,262,38.02,31.08,192.9
692,73,20250130,512,14,394,9.18,42.39,342.43
556,73,20250130,99,7,166,13.33,16.93,135.74
77,73,20250130,345,20,721,86.91,89.57,544.52
864,73,20250130,996,11,113,6.42,8.49,98.09
214,73,20250130,726,14,977,54.5,134.14,788.36
698,73,20250130,752,8,645,84.73,74.99,485.28
733,73,20250130,902,2,839,112.07,125.48,601.45
603,73,20250130,110,14,161,24.15,21.05,115.8
747,73,20250130,61,1,763,29.16,72.6,661.24
77,73,20250130,93,16,740,70.4,101.55,568.05
864,73,20250130,736,13,917,124.73,62.2,730.0699999999999
565,73,20250130,330,4,597,64.73,84.03,448.24
32,73,20250130,184,11,553,65.16,82.82,405.02
204,73,20250130,474,15,631,46.49,56.87,527.64
609,73,20250130,822,14,622,47.61,66.36,508.03
138,73,20250130,206,4,849,57.7,75.85,715.45
954,73,20250130,718,15,831,75.2,112.91,642.89
336,73,20250130,149,15,606,16.98,46.26,542.76
4,73,20250130,983,15,618,65.26,73.1,479.64
106,73,20250130,715,2,962,100.3,116.58,745.12
3,73,20250130,565,10,388,33.41,28.85,325.74
605,73,20250130,521,11,735,25.86,100.45,608.69
498,73,20250130,52,8,320,17.79,22.56,279.65
373,73,20250130,517,9,261,25.96,17.76,217.28
636,73,20250130,816,9,457,52.51,29.81,374.68
677,73,20250130,272,14,238,22.02,26.24,189.74
462,73,20250130,621,17,488,59.54,33.68,394.78
642,73,20250130,586,20,935,129.31,47.33,758.36
92,73,20250130,804,5,668,49.35,99.41,519.24
557,73,20250130,982,6,511,74.52,71.49,364.99
891,73,20250130,567,20,426,29.14,34.07,362.79
255,73,20250130,746,10,977,90.88,120.69,765.4300000000001
476,73,20250130,587,17,493,50.06,50.67,392.27
903,73,20250130,563,15,746,63.48,64.21,618.31
166,73,20250130,32,15,933,121.69,127.47,683.84
112,73,20250130,42,5,422,25.6,34.77,361.63
360,73,20250130,52,6,266,16.42,25.07,224.51
825,73,20250130,465,4,860,88.69,123.73,647.5799999999999
593,73,20250130,448,3,540,19.78,36.67,483.55
492,73,20250130,97,1,849,117.83,55.26,675.91
976,73,20250130,29,11,865,51.01,111.69,702.3
33,73,20250130,475,4,835,106.94,90.08,637.98
188,73,20250130,308,20,518,60.03,61.02,396.95
804,73,20250130,851,3,121,4.38,10.53,106.09
748,73,20250130,234,20,470,48.67,45.84,375.49
